date,mails
10/1/1999,0
10/2/1999,0
10/3/1999,0
10/4/1999,0
10/5/1999,0
10/6/1999,0
10/7/1999,0
10/8/1999,0
10/9/1999,0
10/10/1999,0
10/11/1999,0
10/12/1999,0
10/13/1999,0
10/14/1999,0
10/15/1999,0
10/16/1999,0
10/17/1999,0
10/18/1999,0
10/19/1999,0
10/20/1999,0
10/21/1999,0
10/22/1999,0
10/23/1999,0
10/24/1999,0
10/25/1999,0
10/26/1999,0
10/27/1999,0
10/28/1999,0
10/29/1999,0
10/30/1999,0
10/31/1999,0
11/1/1999,0
11/2/1999,0
11/3/1999,0
11/4/1999,0
11/5/1999,0
11/6/1999,0
11/7/1999,0
11/8/1999,0
11/9/1999,0
11/10/1999,0
11/11/1999,0
11/12/1999,0
11/13/1999,0
11/14/1999,0
11/15/1999,0
11/16/1999,0
11/17/1999,0
11/18/1999,0
11/19/1999,0
11/20/1999,0
11/21/1999,0
11/22/1999,0
11/23/1999,0
11/24/1999,0
11/25/1999,0
11/26/1999,0
11/27/1999,0
11/28/1999,0
11/29/1999,0
11/30/1999,0
12/1/1999,0
12/2/1999,0
12/3/1999,0
12/4/1999,0
12/5/1999,0
12/6/1999,0
12/7/1999,0
12/8/1999,0
12/9/1999,0
12/10/1999,0
12/11/1999,0
12/12/1999,350
12/13/1999,0
12/14/1999,0
12/15/1999,0
12/16/1999,0
12/17/1999,0
12/18/1999,0
12/19/1999,0
12/20/1999,0
12/21/1999,0
12/22/1999,0
12/23/1999,0
12/24/1999,0
12/25/1999,0
12/26/1999,0
12/27/1999,0
12/28/1999,0
12/29/1999,0
12/30/1999,300
12/31/1999,0
1/1/2000,0
1/2/2000,0
1/3/2000,0
1/4/2000,0
1/5/2000,300
1/6/2000,0
1/7/2000,0
