"date","timeshift","inboundc"
1999-10-01,"afternoon",13
1999-10-01,"evening",422
1999-10-01,"morning",77
1999-10-02,"afternoon",0
1999-10-02,"evening",230
1999-10-02,"morning",0
1999-10-03,"afternoon",205
1999-10-03,"evening",1379
1999-10-03,"morning",240
1999-10-04,"afternoon",460
1999-10-04,"evening",1037
1999-10-04,"morning",308
1999-10-05,"afternoon",200
1999-10-05,"evening",1218
1999-10-05,"morning",199
1999-10-06,"afternoon",194
1999-10-06,"evening",958
1999-10-06,"morning",178
1999-10-07,"afternoon",342
1999-10-07,"evening",1004
1999-10-07,"morning",262
1999-10-08,"afternoon",43
1999-10-08,"evening",341
1999-10-08,"morning",209
1999-10-09,"afternoon",0
1999-10-09,"evening",233
1999-10-09,"morning",0
1999-10-10,"afternoon",209
1999-10-10,"evening",1400
1999-10-10,"morning",137
1999-10-11,"afternoon",250
1999-10-11,"evening",1137
1999-10-11,"morning",220
1999-10-12,"afternoon",197
1999-10-12,"evening",1128
1999-10-12,"morning",162
1999-10-13,"afternoon",118
1999-10-13,"evening",1209
1999-10-13,"morning",118
1999-10-14,"afternoon",299
1999-10-14,"evening",782
1999-10-14,"morning",204
1999-10-15,"afternoon",69
1999-10-15,"evening",342
1999-10-15,"morning",204
1999-10-16,"afternoon",0
1999-10-16,"evening",254
1999-10-16,"morning",0
1999-10-17,"afternoon",273
1999-10-17,"evening",975
1999-10-17,"morning",312
1999-10-18,"afternoon",215
1999-10-18,"evening",1128
1999-10-18,"morning",188
1999-10-19,"afternoon",155
1999-10-19,"evening",1037
1999-10-19,"morning",75
1999-10-20,"afternoon",148
1999-10-20,"evening",983
1999-10-20,"morning",104
1999-10-21,"afternoon",163
1999-10-21,"evening",1096
1999-10-21,"morning",137
1999-10-22,"afternoon",16
1999-10-22,"evening",344
1999-10-22,"morning",139
1999-10-23,"afternoon",0
1999-10-23,"evening",222
1999-10-23,"morning",0
1999-10-24,"afternoon",130
1999-10-24,"evening",984
1999-10-24,"morning",52
1999-10-25,"afternoon",98
1999-10-25,"evening",1147
1999-10-25,"morning",111
1999-10-26,"afternoon",322
1999-10-26,"evening",948
1999-10-26,"morning",93
1999-10-27,"afternoon",110
1999-10-27,"evening",958
1999-10-27,"morning",116
1999-10-28,"afternoon",199
1999-10-28,"evening",955
1999-10-28,"morning",73
1999-10-29,"afternoon",64
1999-10-29,"evening",330
1999-10-29,"morning",131
1999-10-30,"afternoon",0
1999-10-30,"evening",210
1999-10-30,"morning",0
1999-10-31,"afternoon",410
1999-10-31,"evening",762
1999-10-31,"morning",521
1999-11-01,"afternoon",495
1999-11-01,"evening",990
1999-11-01,"morning",539
1999-11-02,"afternoon",673
1999-11-02,"evening",938
1999-11-02,"morning",614
1999-11-03,"afternoon",376
1999-11-03,"evening",1046
1999-11-03,"morning",296
1999-11-04,"afternoon",226
1999-11-04,"evening",1095
1999-11-04,"morning",188
1999-11-05,"afternoon",31
1999-11-05,"evening",368
1999-11-05,"morning",96
1999-11-06,"afternoon",0
1999-11-06,"evening",222
1999-11-06,"morning",0
1999-11-07,"afternoon",225
1999-11-07,"evening",836
1999-11-07,"morning",337
1999-11-08,"afternoon",335
1999-11-08,"evening",973
1999-11-08,"morning",253
1999-11-09,"afternoon",658
1999-11-09,"evening",971
1999-11-09,"morning",264
1999-11-10,"afternoon",522
1999-11-10,"evening",873
1999-11-10,"morning",501
1999-11-11,"afternoon",697
1999-11-11,"evening",713
1999-11-11,"morning",465
1999-11-12,"afternoon",63
1999-11-12,"evening",309
1999-11-12,"morning",220
1999-11-13,"afternoon",0
1999-11-13,"evening",272
1999-11-13,"morning",0
1999-11-14,"afternoon",518
1999-11-14,"evening",874
1999-11-14,"morning",435
1999-11-15,"afternoon",725
1999-11-15,"evening",811
1999-11-15,"morning",482
1999-11-16,"afternoon",527
1999-11-16,"evening",840
1999-11-16,"morning",512
1999-11-17,"afternoon",488
1999-11-17,"evening",805
1999-11-17,"morning",455
1999-11-18,"afternoon",332
1999-11-18,"evening",1180
1999-11-18,"morning",241
1999-11-19,"afternoon",13
1999-11-19,"evening",288
1999-11-19,"morning",48
1999-11-20,"afternoon",0
1999-11-20,"evening",306
1999-11-20,"morning",0
1999-11-21,"afternoon",380
1999-11-21,"evening",809
1999-11-21,"morning",379
1999-11-22,"afternoon",400
1999-11-22,"evening",955
1999-11-22,"morning",463
1999-11-23,"afternoon",513
1999-11-23,"evening",770
1999-11-23,"morning",465
1999-11-24,"afternoon",587
1999-11-24,"evening",628
1999-11-24,"morning",450
1999-11-25,"afternoon",314
1999-11-25,"evening",730
1999-11-25,"morning",354
1999-11-26,"afternoon",58
1999-11-26,"evening",131
1999-11-26,"morning",238
1999-11-27,"afternoon",0
1999-11-27,"evening",232
1999-11-27,"morning",0
1999-11-28,"afternoon",474
1999-11-28,"evening",593
1999-11-28,"morning",441
1999-11-29,"afternoon",248
1999-11-29,"evening",853
1999-11-29,"morning",297
1999-11-30,"afternoon",582
1999-11-30,"evening",747
1999-11-30,"morning",368
1999-12-01,"afternoon",639
1999-12-01,"evening",735
1999-12-01,"morning",570
1999-12-02,"afternoon",561
1999-12-02,"evening",748
1999-12-02,"morning",532
1999-12-03,"afternoon",87
1999-12-03,"evening",252
1999-12-03,"morning",312
1999-12-04,"afternoon",0
1999-12-04,"evening",222
1999-12-04,"morning",0
1999-12-05,"afternoon",363
1999-12-05,"evening",754
1999-12-05,"morning",425
1999-12-06,"afternoon",385
1999-12-06,"evening",819
1999-12-06,"morning",381
1999-12-07,"afternoon",455
1999-12-07,"evening",843
1999-12-07,"morning",301
1999-12-08,"afternoon",456
1999-12-08,"evening",668
1999-12-08,"morning",361
1999-12-09,"afternoon",708
1999-12-09,"evening",637
1999-12-09,"morning",431
1999-12-10,"afternoon",115
1999-12-10,"evening",220
1999-12-10,"morning",261
1999-12-11,"afternoon",0
1999-12-11,"evening",322
1999-12-11,"morning",0
1999-12-12,"afternoon",833
1999-12-12,"evening",759
1999-12-12,"morning",611
1999-12-13,"afternoon",556
1999-12-13,"evening",853
1999-12-13,"morning",465
1999-12-14,"afternoon",784
1999-12-14,"evening",706
1999-12-14,"morning",548
1999-12-15,"afternoon",508
1999-12-15,"evening",941
1999-12-15,"morning",441
1999-12-16,"afternoon",620
1999-12-16,"evening",725
1999-12-16,"morning",488
1999-12-17,"afternoon",34
1999-12-17,"evening",375
1999-12-17,"morning",86
1999-12-18,"afternoon",0
1999-12-18,"evening",249
1999-12-18,"morning",0
1999-12-19,"afternoon",381
1999-12-19,"evening",1013
1999-12-19,"morning",207
1999-12-20,"afternoon",342
1999-12-20,"evening",940
1999-12-20,"morning",383
1999-12-21,"afternoon",454
1999-12-21,"evening",824
1999-12-21,"morning",458
1999-12-22,"afternoon",415
1999-12-22,"evening",762
1999-12-22,"morning",446
1999-12-23,"afternoon",438
1999-12-23,"evening",868
1999-12-23,"morning",305
1999-12-24,"afternoon",10
1999-12-24,"evening",379
1999-12-24,"morning",98
1999-12-25,"afternoon",0
1999-12-25,"evening",221
1999-12-25,"morning",0
1999-12-26,"afternoon",423
1999-12-26,"evening",1065
1999-12-26,"morning",339
1999-12-27,"afternoon",454
1999-12-27,"evening",1108
1999-12-27,"morning",321
1999-12-28,"afternoon",457
1999-12-28,"evening",1062
1999-12-28,"morning",249
1999-12-29,"afternoon",506
1999-12-29,"evening",870
1999-12-29,"morning",444
1999-12-30,"afternoon",718
1999-12-30,"evening",931
1999-12-30,"morning",552
1999-12-31,"afternoon",17
1999-12-31,"evening",420
1999-12-31,"morning",40
