Museum Name ,Museum Group,Coverage,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,January 2022,February 2022,March 2022,April 2022,May 2022,June 2022,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022,January 2023,February 2023,March 2023,April 2023,May 2023,June 2023,July 2023,August 2023,September 2023,October 2023,November 2023,December 2023,January 2024,February 2024,March 2024,April 2024,May 2024,June 2024,July 2024,August 2024,September 2024,October 2024,November 2024,December 2024,January 2025,February 2025,March 2025,April 2025,May 2025,June 2025,July 2025,August 2025,September 2025,
DCMS Total,DCMS Total,All DCMS-sponsored museums,3481554,3912316,4249235,4522589,4185315,4368398,5074640,5362687,3750799,4447198,3586733,3470477,3502327,3816978,1556584,0,0,0,97212,682411,636881,829306,115271,268438,0,0,0,11994,542126,1090675,1395424,2267719,1462484,2072195,1606925,1360904,1407991,2017622,1941955,2957638,2586999,2856323,3297341,3746566,2476648,3385440,2548018,2566014,2605356,3001203,3083447,3761282,3286803,3374641,4539413,4869035,3137212,3711860,2980288,2923812,3011654,3455383,3495176,3628227,3707317,3492608,4229966,4589269,3093218,3680034,2993663,2964761,2884132,3282467,3326107,3692922,3710723,3644919,4488511,4808495,3280713,
British Museum,British Museum,Museum group,447863,470127,494348,518883,546823,577624,687837,638890,447383,522556,442347,445302,463881,471593,179887,0,0,0,0,7194,43627,72418,11903,24963,0,0,0,0,44893,111514,145595,205847,168444,250198,220861,179768,190792,246311,280991,335401,346168,379912,471554,432545,335308,404408,327109,346754,395472,303120,466847,376473,531650,560358,715654,633089,472610,524294,406665,434628,446425,509388,548622,539986,583873,541916,707512,641660,464590,532125,471668,492187,481600,501284,516333,494529,545199,560756,713916,679166,478586,
Museum of the Home,Museum of the Home,Museum group,166,316,230,1515,542,5475,4415,1995,843,932,341,322,270,112,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2810,4714,8351,6859,9546,8323,7535,5469,9050,6297,13032,10210,12648,16141,15534,13835,13799,14640,14646,12736,10576,10875,12433,12577,19087,19196,17423,16527,13467,13219,14291,11098,11175,11969,12060,14490,14707,17826,17645,16524,16932,14883,13438,13693,14710,15084,15096,16903,15262,16753,17468,17987,
Horniman Museum (Excluding Visits To The Garden) ,Horniman Museum,Museum group,53760,75652,73321,96436,75729,57025,76055,94178,54626,80692,44875,37480,47967,65941,27595,0,0,0,857,19777,19671,29402,3597,8721,0,0,0,0,12516,24894,28238,50437,26409,36516,27733,19738,29136,35022,40824,68248,53773,54771,60223,85839,46082,70868,44694,38842,53283,72778,64896,84283,65908,55108,82656,96741,49722,70291,45595,38585,54306,72153,60709,70817,63520,54093,63324,73231,44897,56386,41121,32549,44187,67440,57987,73779,60302,45552,61694,77361,43545,
Imperial War Museum (IWM) Total,Imperial War Museum,Museum group,154447,183879,207567,236727,240922,252413,285348,286635,241357,243386,189805,145440,138786,172518,65509,0,0,0,0,103659,64221,83001,7404,10485,0,0,0,2650,37463,69100,108190,184473,99484,139742,86722,74355,78942,129155,102877,173278,154587,191261,196959,212179,165481,199763,130916,117439,124660,165224,165652,223287,185775,217388,235337,259488,192264,210674,147147,125011,125654,165239,188124,208134,207446,236453,227796,239724,193955,200073,143990,123018,126365,163341,168775,199822,203184,222051,222683,227601,179998,
IWM London,Imperial War Museum,Museum site,72768,81657,90780,98175,89106,88990,97131,111372,88639,105393,87419,62506,59626,71734,24415,0,0,0,0,40106,30377,42316,4430,5793,0,0,0,0,15684,30692,42456,72018,32260,58203,37141,32088,35392,56969,41972,68798,59465,59897,67363,74882,50722,72704,51641,45104,52608,71409,65321,87646,65005,65347,86051,95269,56821,84233,62227,49638,57304,72810,78682,81760,70737,66799,78674,76688,56101,71538,53796,46007,54862,69548,62788,72091,66898,60902,74724,76303,50468,
HMS Belfast (IWM),Imperial War Museum,Museum site,15785,21125,24470,36210,27807,30994,37420,45708,21318,30880,17552,17937,14668,19322,7311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8222,20138,7735,13191,5672,5077,4663,10264,7967,20068,13373,14983,19564,25011,11099,19588,9899,11454,9220,15446,12950,26044,16723,17092,24085,30403,12790,20039,11058,12648,10274,16789,17178,22580,20801,18130,23771,27845,13037,20175,12134,12455,9774,15538,15249,23069,19081,16436,21700,27314,12704,
Churchill War Rooms (IWM),Imperial War Museum,Museum site,36241,36058,52806,53456,57533,59391,66948,63371,54588,57084,43511,39946,35925,39142,18221,0,0,0,0,7873,4693,7623,553,933,0,0,0,0,3258,6132,9950,17820,11397,19527,14911,12318,7937,16198,23306,35151,38163,52163,57931,47652,40440,47454,34824,36873,27753,28960,46992,55405,53660,60218,62273,55469,49619,50068,34650,34673,26766,28513,46384,48484,57316,63160,61535,55240,48901,49940,35590,37078,28519,28525,43688,49330,54287,57932,62601,51870,44995,
IWM Duxford ,Imperial War Museum,Museum site,12011,20614,20563,26576,47591,53768,61831,39121,58755,26904,22764,10789,12025,18052,7723,0,0,0,0,44680,23401,26677,1895,3759,0,0,0,2650,13597,23330,35750,51472,37439,31028,12513,13379,18461,26319,15477,26728,25447,45131,33445,41729,48076,35646,18283,11916,16092,24512,19915,29875,30932,57413,36534,47218,54552,32081,18297,13224,15432,24098,21582,27495,34473,64854,38099,51428,55567,34301,21335,13749,15946,24941,23547,30400,37841,65812,37314,43132,54320,
IWM North,Imperial War Museum,Museum site,17642,24425,18948,22310,18885,19270,22018,27063,18057,23125,18559,14262,16542,24268,7839,0,0,0,0,11000,5750,6385,526,0,0,0,0,0,4924,8946,11812,23025,10653,17793,16485,11493,12489,19405,14155,22533,18139,19087,18656,22905,15144,24371,16269,12092,18987,24897,20474,24317,19455,17318,26394,31129,18482,24253,20915,14828,15878,23029,24298,27815,24119,23510,25717,28523,20349,24119,21135,13729,17264,24789,23503,24932,25077,20969,26344,28982,17511,
